Gene	sample 1	sample 2	sample 3	sample 4	sample 5	sample 6	sample 7	sample 8	sample 9	sample 10	sample 11	sample 12
TSPAN6	663	438	526	292	860	552	512	404	776	511	857	493
TNMD	0	0	0	0	0	0	0	0	0	0	0	0
DPM1	9509	9123	7018	5843	13166	13738	13507	16013	11838	13849	14335	15652
SCYL3	1440	1406	1156	926	1544	1486	1968	1583	1825	1661	1680	1793
C1orf112	2298	1976	2459	1792	2662	2375	2582	2503	2550	2344	2594	2420
FGR	0	0	1	4	2	0	0	4	2	3	1	2
CFH	4	0	8	2	2	0	0	3	3	4	1	4
FUCA2	8221	5013	6000	3128	7158	4641	4638	2912	5281	3283	5833	3040
GCLC	3238	3808	2207	2184	3558	4235	3388	4187	3464	4405	3788	5454
NFYA	2218	2351	2041	1615	2559	2239	2426	2348	2330	2455	2574	2829
STPG1	337	327	477	314	517	370	493	421	454	409	462	397
NIPAL3	802	746	786	589	1251	976	1220	871	1078	855	1060	783
LAS1L	9042	9904	10133	11677	7644	10042	7936	10440	7387	8979	6877	9566
ENPP4	177	75	80	30	227	152	189	99	155	136	224	213
SEMA3F	3790	3643	4434	4038	3346	3300	2979	2675	2563	2682	2572	2735
CFTR	24	28	20	1	27	18	23	11	18	20	16	14
ANKIB1	3711	3852	3090	2328	4688	4876	4892	4875	4708	5098	5116	7607
CYP51A1	6698	5344	4869	2983	5839	4345	5031	3356	4960	4574	5867	5670
KRIT1	2196	2471	1823	1436	3237	3201	2823	3516	2882	3936	3477	4333
RAD52	372	422	275	224	570	507	489	513	607	616	568	711
MYH16	4	9	6	10	10	6	8	4	2	5	4	4
BAD	7309	7372	8429	8791	8419	7546	9134	8284	7683	7507	7283	7468
LAP3	8780	9479	6487	6972	13683	18341	13663	18915	11972	14726	12794	17527
CD99	4138	2990	4443	2770	3893	2807	3623	1999	3780	2418	3523	1986
CD99	4146	2982	4449	2764	3895	2799	3624	2002	3779	2398	3512	1991
HS3ST1	6	5	19	12	12	5	6	4	1	6	4	14
AOC1	11	14	25	17	5	10	4	2	1	3	5	8
WNT16	1	1	1	0	1	4	4	1	0	0	7	0
HECW1	4	3	6	9	3	6	2	9	2	6	1	5
MAD1L1	2862	3524	3424	4117	2737	3660	2875	3885	2539	3502	2301	3935
LASP1	22145	31830	24900	33650	23089	32085	24348	34956	23722	33595	23747	37388
SNX11	2499	2494	3025	2696	3388	2808	3086	2991	2868	2831	3015	2924
TMEM176A	17	22	29	17	25	20	11	15	17	16	13	5
M6PR	6786	5359	5159	2937	6727	4914	5704	3347	5651	4068	5884	3759
KLHL13	389	519	189	221	385	551	414	539	422	530	415	848
CYP26B1	202	246	109	123	70	82	55	52	50	75	53	72
ICA1	7922	8500	7680	7844	9177	9342	9271	11144	8214	8644	8170	8836
DBNDD1	10775	10307	12920	11908	10483	8691	10788	9501	9778	8959	8770	8276
ALS2	1003	1143	851	776	1258	1284	1255	1293	1017	1292	1241	1538
CASP10	48	64	80	87	78	81	54	77	43	69	68	89
CFLAR	2622	2997	2714	2342	3893	3420	3622	3524	3295	3181	3055	3369
TFPI	353	249	230	155	488	343	288	282	291	260	239	247
NDUFAF7	1004	992	1260	995	1611	1730	1362	1629	1465	1540	1515	1541
RBM5	5175	5112	3938	3202	6413	6231	6490	6936	6088	6756	6020	6331
MTMR7	169	209	133	113	207	235	224	228	228	234	233	371
SLC7A2	16188	13726	10195	5646	11701	7809	9491	5694	7987	6787	10777	8637
ARF5	20915	17315	24474	20916	21511	20441	18771	17464	18171	17073	17556	16694
SARM1	813	918	991	1174	886	1040	900	1167	963	890	772	970
POLDIP2	22619	25740	24780	28309	21796	25880	22252	27738	19974	23859	19001	25099
PLXND1	2607	3531	2181	2475	1403	1595	1058	1379	1045	1371	988	1280
AK2	21108	22120	20708	21060	23825	21916	23991	24576	23233	20658	22362	21689
CD38	21	17	32	17	29	8	17	11	32	19	23	18
FKBP4	84365	96815	82679	96865	80951	99435	86998	104453	77162	88475	69999	97218
KDM1A	7519	8676	7988	8677	8181	10042	7840	10192	7786	9389	7670	9770
RBM6	5104	5593	4147	3729	5662	5350	5736	5938	4904	4790	4825	4844
CAMKK1	455	546	501	495	600	665	576	657	604	762	570	751
RECQL	1785	1641	1574	1098	2504	2732	2389	2721	2392	2702	2692	3275
VPS50	975	965	640	528	948	1037	914	1081	926	1212	1088	1736
HSPB6	22	25	69	48	34	18	26	32	19	23	13	15
